"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
2011-11-01,4231,867,1648,92,418,770,130,13315,212,432,937,220,322,91,1309,1554,81
2011-12-01,3625,718,1313,97,316,598,96,10819,124,362,649,214,247,72,1059,1249,80
2012-01-01,4420,889,1680,96,434,696,135,13626,196,443,1142,205,321,94,1397,1413,65
2012-02-01,4544,890,1796,90,384,716,148,14646,170,343,1042,287,314,82,1374,2388,78
2012-03-01,5367,1053,2095,138,448,808,171,17616,233,490,1263,330,327,112,1632,3061,88
2012-04-01,5889,1242,2142,125,545,972,159,17728,244,559,927,271,391,114,1721,2346,81
2012-05-01,5018,1191,1878,129,480,774,162,15596,271,515,879,276,370,122,1536,1918,76
2012-06-01,4021,828,1353,96,358,551,121,11906,150,385,662,230,301,94,1232,1430,92
2012-07-01,5687,1271,1911,162,556,902,190,17228,277,524,949,342,396,129,1771,2068,92
2012-08-01,5652,1380,1854,162,538,852,156,16758,252,551,832,301,399,112,1712,1902,103
2012-09-01,4388,919,1478,112,422,635,144,12859,230,461,700,198,314,99,1213,1493,53
2012-10-01,4839,1005,1623,123,405,721,141,14262,223,485,851,282,343,118,1437,1552,114
2012-11-01,4516,942,1429,119,460,741,140,13779,251,480,878,241,356,94,1347,1720,65
2012-12-01,2914,631,1079,69,232,501,102,8775,142,278,608,153,203,60,809,931,63
2013-01-01,5754,1143,1891,114,542,873,139,17652,227,517,1509,269,402,124,1730,2294,122
2013-02-01,4060,838,1530,113,329,601,98,12952,211,332,792,185,237,67,1380,2141,37
2013-03-01,4618,785,1488,101,378,767,123,14083,182,332,1053,289,272,74,1379,2167,75
2013-04-01,5456,1166,1889,130,438,906,144,16510,249,538,830,238,341,118,1695,2277,94
2013-05-01,6105,1287,1967,128,539,830,195,18028,295,575,994,364,431,122,1733,2365,97
2013-06-01,4007,880,1280,110,313,539,111,11281,177,377,597,204,224,90,1019,1283,70
2013-07-01,5044,1076,1607,153,466,756,146,14733,240,456,860,227,303,107,1547,1656,89
2013-08-01,4464,956,1502,99,340,643,96,12571,204,414,605,218,303,87,1181,1387,71
2013-09-01,4727,1016,1392,127,414,644,132,13286,240,447,633,275,305,112,1259,1486,76
2013-10-01,4791,981,1540,116,426,629,118,13765,238,440,868,252,316,103,1374,1493,79
2013-11-01,6377,1234,2013,159,543,991,162,17861,260,525,1086,292,402,137,1657,1932,91
2013-12-01,3707,835,1421,116,339,597,100,11480,197,407,734,182,215,74,1112,1362,81
2014-01-01,4684,805,1636,134,363,654,96,13556,244,433,1150,246,305,109,1265,1365,66
2014-02-01,4817,928,1886,138,402,855,138,15100,171,333,966,242,289,71,1443,2342,79
2014-03-01,5852,954,2017,146,436,798,133,17408,234,472,1100,320,336,90,1692,2763,63
2014-04-01,3883,737,1426,97,261,577,89,11400,191,339,594,159,225,82,980,1676,84
2014-05-01,6065,1223,2092,149,515,733,158,17294,296,552,839,247,370,127,1762,2076,90
2014-06-01,4181,909,1436,114,359,610,94,12204,203,470,577,204,288,100,1206,1375,78
2014-07-01,5171,1045,2002,137,429,767,109,15226,250,451,836,279,303,99,1484,1802,60
2014-08-01,4879,894,1647,152,398,774,134,13799,229,490,658,241,330,72,1293,1519,89
2014-09-01,5535,1162,1920,131,452,760,114,15712,204,432,895,278,355,152,1525,1707,90
2014-10-01,4326,789,1582,117,394,664,123,12479,174,397,726,250,281,93,1182,1292,89
2014-11-01,4528,876,1623,101,412,832,113,13521,214,435,839,220,317,88,1243,1616,64
2014-12-01,3633,670,1272,110,323,498,101,10428,167,271,658,151,249,74,1012,1192,47
2015-01-01,5123,1002,2159,106,444,771,107,15839,188,400,1463,262,324,90,1464,1850,86
2015-02-01,4025,656,1518,105,335,546,89,12239,177,319,706,221,250,65,1192,1979,55
2015-03-01,5890,1049,2380,114,488,871,105,18310,214,457,1140,279,278,88,1799,3063,95
2015-04-01,5437,917,1790,115,376,651,79,14656,232,426,716,181,325,103,1360,1866,82
2015-05-01,5043,914,2042,137,401,614,138,14705,206,438,711,253,317,102,1495,1817,73
2015-06-01,5542,1060,1967,127,440,749,128,15555,197,438,774,235,382,109,1517,1799,90
2015-07-01,5246,888,1988,109,401,589,126,14583,207,444,693,230,316,105,1480,1676,85
2015-08-01,4772,933,1709,107,374,702,94,13530,185,434,602,244,305,109,1346,1533,80
2015-09-01,4972,953,1812,132,406,677,97,13680,192,425,709,205,272,81,1285,1392,70
2015-10-01,5189,796,1781,105,437,608,98,14018,210,466,771,219,311,92,1433,1415,87
2015-11-01,4745,876,1807,137,399,664,113,13690,192,410,784,237,290,105,1309,1523,99
2015-12-01,4227,824,1617,102,353,636,102,12304,166,317,738,169,315,85,1227,1345,81
2016-01-01,4568,878,1840,107,354,601,113,13542,204,393,1028,201,301,91,1269,1505,89
2016-02-01,4321,659,1852,90,324,568,66,13326,162,346,1103,234,252,82,1112,2055,100
2016-03-01,6761,1047,2640,117,454,874,113,19993,204,459,1128,305,450,111,2053,3209,68
2016-04-01,4811,760,1896,86,322,594,84,13821,228,363,776,199,264,87,1366,1911,74
2016-05-01,6955,1161,2642,154,500,797,150,18912,257,547,990,248,437,127,1665,2188,93
2016-06-01,4394,811,1693,117,332,494,74,12257,175,369,568,222,212,86,1318,1310,80
2016-07-01,5153,940,1968,104,382,677,118,14298,203,422,706,223,383,105,1332,1498,84
2016-08-01,5737,945,2080,137,383,673,108,15454,208,460,768,285,361,110,1476,1638,85
2016-09-01,6539,1170,2338,119,461,878,114,17774,232,476,886,262,427,118,1709,1944,101
2016-10-01,4973,864,1793,90,349,598,111,13423,188,397,684,214,327,94,1328,1353,59
2016-11-01,5025,807,1933,112,326,577,87,13852,196,387,852,241,325,109,1284,1521,70
2016-12-01,3366,593,1086,57,226,479,86,9105,114,230,649,156,199,70,756,997,41
2017-01-01,4146,699,1554,74,285,562,83,11909,190,319,1083,196,225,69,1124,1244,55
2017-02-01,4686,715,2157,96,298,517,97,14067,151,360,1116,247,264,75,1104,2108,73
2017-03-01,6986,896,2865,85,396,862,93,19647,267,369,1253,256,302,83,1891,2973,61
2017-04-01,4737,730,1784,98,261,597,78,12931,157,326,652,177,315,101,1131,1677,105
2017-05-01,6613,1038,2647,128,419,692,122,17973,266,505,928,324,379,122,1641,2000,118
2017-06-01,4407,761,1749,102,318,576,113,12417,192,334,670,197,276,73,1162,1389,63
